Time,Open,High,Low,Close
2018-01-25 09:29,1.24739,1.24821,1.24739,1.24810
2018-01-25 09:30,1.24811,1.24859,1.24773,1.24776
2018-01-25 09:31,1.24778,1.24825,1.24733,1.24736
2018-01-25 09:32,1.24732,1.24797,1.24732,1.24786
2018-01-25 09:33,1.24785,1.24885,1.24778,1.24884
2018-01-25 09:34,1.24889,1.24937,1.24869,1.24931
2018-01-25 09:35,1.24930,1.24943,1.24867,1.24876
2018-01-25 09:36,1.24877,1.24911,1.24865,1.24884
2018-01-25 09:37,1.24882,1.24911,1.24876,1.24899
2018-01-25 09:38,1.24900,1.24912,1.24875,1.24907
2018-01-25 09:39,1.24908,1.24921,1.24901,1.24906
2018-01-25 09:40,1.24907,1.24917,1.24749,1.24755
2018-01-25 09:41,1.24758,1.24770,1.24651,1.24694
2018-01-25 09:42,1.24692,1.24715,1.24653,1.24683
2018-01-25 09:43,1.24686,1.24694,1.24623,1.24669
2018-01-25 09:44,1.24679,1.24692,1.24656,1.24692
2018-01-25 09:45,1.24694,1.24700,1.24667,1.24691
2018-01-25 09:46,1.24691,1.24756,1.24691,1.24738
2018-01-25 09:47,1.24743,1.24762,1.24735,1.24748
2018-01-25 09:48,1.24749,1.24753,1.24716,1.24720
2018-01-25 09:49,1.24719,1.24738,1.24677,1.24719
2018-01-25 09:50,1.24716,1.24796,1.24708,1.24794
2018-01-25 09:51,1.24793,1.24841,1.24783,1.24827
2018-01-25 09:52,1.24825,1.24870,1.24822,1.24835
2018-01-25 09:53,1.24833,1.24836,1.24777,1.24788
2018-01-25 09:54,1.24783,1.24794,1.24758,1.24758
2018-01-25 09:55,1.24761,1.24814,1.24750,1.24801
2018-01-25 09:56,1.24803,1.24848,1.24801,1.24839
2018-01-25 09:57,1.24840,1.24900,1.24836,1.24889
2018-01-25 09:58,1.24887,1.24887,1.24851,1.24869
2018-01-25 09:59,1.24870,1.24922,1.24870,1.24905
2018-01-25 10:00,1.24904,1.24912,1.24865,1.24886
2018-01-25 10:01,1.24886,1.24890,1.24840,1.24845
2018-01-25 10:02,1.24846,1.24957,1.24844,1.24892
2018-01-25 10:03,1.24892,1.24930,1.24884,1.24892
2018-01-25 10:04,1.24893,1.24941,1.24893,1.24931
2018-01-25 10:05,1.24934,1.24985,1.24933,1.24979
2018-01-25 10:06,1.24978,1.24985,1.24929,1.24966
2018-01-25 10:07,1.24965,1.25104,1.24956,1.25072
2018-01-25 10:08,1.25074,1.25155,1.25062,1.25146
2018-01-25 10:09,1.25132,1.25171,1.25081,1.25151
2018-01-25 10:10,1.25149,1.25157,1.25109,1.25110
2018-01-25 10:11,1.25109,1.25109,1.25065,1.25107
2018-01-25 10:12,1.25106,1.25106,1.25061,1.25089
2018-01-25 10:13,1.25094,1.25229,1.25088,1.25184
2018-01-25 10:14,1.25185,1.25187,1.25140,1.25170
2018-01-25 10:15,1.25172,1.25191,1.25167,1.25191
2018-01-25 10:16,1.25191,1.25192,1.25115,1.25125
2018-01-25 10:17,1.25126,1.25198,1.25125,1.25180
2018-01-25 10:18,1.25182,1.25189,1.25107,1.25120
2018-01-25 10:19,1.25116,1.25119,1.25097,1.25101
2018-01-25 10:20,1.25102,1.25133,1.25096,1.25128
2018-01-25 10:21,1.25127,1.25129,1.25060,1.25060
2018-01-25 10:22,1.25059,1.25082,1.25039,1.25066
2018-01-25 10:23,1.25066,1.25080,1.25018,1.25046
2018-01-25 10:24,1.25047,1.25074,1.25017,1.25055
2018-01-25 10:25,1.25057,1.25100,1.25037,1.25100
2018-01-25 10:26,1.25104,1.25176,1.25102,1.25157
2018-01-25 10:27,1.25156,1.25185,1.25130,1.25158
2018-01-25 10:28,1.25160,1.25191,1.25151,1.25191
2018-01-25 10:29,1.25193,1.25201,1.25183,1.25186
2018-01-25 10:30,1.25187,1.25294,1.25187,1.25283
2018-01-25 10:31,1.25282,1.25302,1.25242,1.25242
2018-01-25 10:32,1.25240,1.25257,1.25212,1.25247
2018-01-25 10:33,1.25248,1.25261,1.25196,1.25211
2018-01-25 10:34,1.25211,1.25211,1.25127,1.25133
2018-01-25 10:35,1.25136,1.25174,1.25124,1.25129
2018-01-25 10:36,1.25131,1.25154,1.25086,1.25090
2018-01-25 10:37,1.25088,1.25107,1.25065,1.25084
2018-01-25 10:38,1.25082,1.25162,1.25082,1.25121
